timestep,reward,length,violations,thrust,sfc,T4
16400,72.205161,200,30,10360.400000000001,0.648949146270752,2784.12109375
16600,-71.99736,200,53,10360.400000000001,0.648949146270752,2784.12109375
16800,-187.587686,200,69,10360.400000000001,0.648949146270752,2784.12109375
17000,-605.883548,200,140,10360.400000000001,0.648949146270752,2784.12109375
17200,-231.339087,200,80,10360.400000000001,0.648949146270752,2784.12109375
17400,-42.315275,200,46,10360.400000000001,0.648949146270752,2784.12109375
17600,-470.62785,200,115,10360.400000000001,0.648949146270752,2784.12109375
17800,157.558897,200,13,10360.400000000001,0.648949146270752,2784.12109375
18000,-547.732094,200,128,10360.400000000001,0.648949146270752,2784.12109375
18200,-12.947853,200,44,10360.400000000001,0.648949146270752,2784.12109375
18400,-120.05426,200,63,10360.400000000001,0.648949146270752,2784.12109375
18600,-298.423489,200,89,10360.400000000001,0.648949146270752,2784.12109375
18800,-119.412221,200,60,10360.400000000001,0.648949146270752,2784.12109375
19000,-109.676906,200,61,10360.400000000001,0.648949146270752,2784.12109375
19200,-256.377664,200,83,10360.400000000001,0.648949146270752,2784.12109375
19400,-527.412447,200,125,10360.400000000001,0.648949146270752,2784.12109375
19600,-939.905226,200,196,10360.400000000001,0.648949146270752,2784.12109375
19800,-173.742949,200,68,10360.400000000001,0.648949146270752,2784.12109375
20000,-485.111491,200,121,10360.400000000001,0.648949146270752,2784.12109375
20200,-227.663244,200,79,10360.400000000001,0.648949146270752,2784.12109375
20400,-392.479717,200,104,10360.400000000001,0.648949146270752,2784.12109375
20600,-125.401868,200,59,10360.400000000001,0.648949146270752,2784.12109375
20800,136.410112,200,20,10360.400000000001,0.648949146270752,2784.12109375
21000,-19.879397,200,45,10360.400000000001,0.648949146270752,2784.12109375
21200,50.617723,200,34,10360.400000000001,0.648949146270752,2784.12109375
21400,-852.319429,200,181,10360.400000000001,0.648949146270752,2784.12109375
21600,152.999572,200,16,10360.400000000001,0.648949146270752,2784.12109375
21800,-0.567448,200,40,10360.400000000001,0.648949146270752,2784.12109375
22000,-14.398966,200,41,10360.400000000001,0.648949146270752,2784.12109375
22200,-17.587365,200,43,10360.400000000001,0.648949146270752,2784.12109375
22400,93.366267,200,29,10360.400000000001,0.648949146270752,2784.12109375
22600,48.606705,200,34,10360.400000000001,0.648949146270752,2784.12109375
22800,-380.105247,200,100,10360.400000000001,0.648949146270752,2784.12109375
23000,150.096606,200,17,10360.400000000001,0.648949146270752,2784.12109375
23200,-436.877799,200,109,10360.400000000001,0.648949146270752,2784.12109375
23400,-5.429597,200,42,10360.400000000001,0.648949146270752,2784.12109375
23600,-393.486186,200,103,10360.400000000001,0.648949146270752,2784.12109375
23800,-252.911837,200,82,10360.400000000001,0.648949146270752,2784.12109375
24000,-298.102283,200,89,10360.400000000001,0.648949146270752,2784.12109375
24200,-120.878695,200,58,10360.400000000001,0.648949146270752,2784.12109375
24400,-384.664021,200,103,10360.400000000001,0.648949146270752,2784.12109375
24600,-26.217286,200,44,10360.400000000001,0.648949146270752,2784.12109375
24800,-700.468551,200,154,10360.400000000001,0.648949146270752,2784.12109375
25000,259.687711,200,0,10360.400000000001,0.648949146270752,2784.12109375
25200,73.869476,200,30,10360.400000000001,0.648949146270752,2784.12109375
25400,-710.064956,200,156,10360.400000000001,0.648949146270752,2784.12109375
25600,-563.829972,200,132,10360.400000000001,0.648949146270752,2784.12109375
25800,250.940465,200,0,10360.400000000001,0.648949146270752,2784.12109375
26000,-347.336448,200,96,10360.400000000001,0.648949146270752,2784.12109375
26200,54.103827,200,32,10360.400000000001,0.648949146270752,2784.12109375
26400,168.17695,200,11,10360.400000000001,0.648949146270752,2784.12109375
26600,-170.639967,200,68,10360.400000000001,0.648949146270752,2784.12109375
26800,-602.720853,200,138,10360.400000000001,0.648949146270752,2784.12109375
27000,-148.797832,200,61,10360.400000000001,0.648949146270752,2784.12109375
27200,-627.600782,200,138,10360.400000000001,0.648949146270752,2784.12109375
27400,-297.516177,200,88,10360.400000000001,0.648949146270752,2784.12109375
27600,-77.804718,200,52,10360.400000000001,0.648949146270752,2784.12109375
27800,-79.521659,200,52,10360.400000000001,0.648949146270752,2784.12109375
28000,244.840783,200,0,10360.400000000001,0.648949146270752,2784.12109375
28200,-387.237073,200,101,10360.400000000001,0.648949146270752,2784.12109375
28400,-353.355853,200,97,10360.400000000001,0.648949146270752,2784.12109375
28600,29.652919,200,37,10360.400000000001,0.648949146270752,2784.12109375
28800,-343.299536,200,96,10360.400000000001,0.648949146270752,2784.12109375
29000,-149.149808,200,63,10360.400000000001,0.648949146270752,2784.12109375
29200,-308.889963,200,91,10360.400000000001,0.648949146270752,2784.12109375
29400,-142.137671,200,66,10360.400000000001,0.648949146270752,2784.12109375
29600,-218.123388,200,78,10360.400000000001,0.648949146270752,2784.12109375
29800,-217.623496,200,75,10360.400000000001,0.648949146270752,2784.12109375
30000,-794.699692,200,170,10360.400000000001,0.648949146270752,2784.12109375
30200,-297.216961,200,86,10360.400000000001,0.648949146270752,2784.12109375
30400,-248.661681,200,82,10360.400000000001,0.648949146270752,2784.12109375
30600,-371.65231,200,101,10360.400000000001,0.648949146270752,2784.12109375
30800,-44.677905,200,50,10360.400000000001,0.648949146270752,2784.12109375
31000,155.906372,200,15,10360.400000000001,0.648949146270752,2784.12109375
31200,-481.289488,200,119,10360.400000000001,0.648949146270752,2784.12109375
31400,-268.152587,200,85,10360.400000000001,0.648949146270752,2784.12109375
31600,-586.619995,200,135,10360.400000000001,0.648949146270752,2784.12109375
31800,-240.664915,200,81,10360.400000000001,0.648949146270752,2784.12109375
32000,-379.358341,200,99,10360.400000000001,0.648949146270752,2784.12109375
32200,-5.177006,200,44,10360.400000000001,0.648949146270752,2784.12109375
32400,-382.215677,200,104,10360.400000000001,0.648949146270752,2784.12109375
32600,-303.361718,200,86,10360.400000000001,0.648949146270752,2784.12109375
32800,79.881827,200,29,10360.400000000001,0.648949146270752,2784.12109375
33000,-268.947349,200,86,10360.400000000001,0.648949146270752,2784.12109375
33200,-367.223489,200,100,10360.400000000001,0.648949146270752,2784.12109375
33400,-385.200051,200,100,10360.400000000001,0.648949146270752,2784.12109375
33600,-512.257282,200,124,10360.400000000001,0.648949146270752,2784.12109375
33800,-333.446604,200,91,10360.400000000001,0.648949146270752,2784.12109375
34000,-646.399611,200,142,10360.400000000001,0.648949146270752,2784.12109375
34200,-94.265809,200,58,10360.400000000001,0.648949146270752,2784.12109375
34400,-279.045044,200,85,10360.400000000001,0.648949146270752,2784.12109375
34600,-552.872247,200,127,10360.400000000001,0.648949146270752,2784.12109375
34800,-480.043484,200,117,10360.400000000001,0.648949146270752,2784.12109375
35000,-427.903148,200,110,10360.400000000001,0.648949146270752,2784.12109375
35200,-220.572641,200,74,10360.400000000001,0.648949146270752,2784.12109375
35400,58.748714,200,31,10360.400000000001,0.648949146270752,2784.12109375
35600,-282.839688,200,87,10360.400000000001,0.648949146270752,2784.12109375
35800,-48.678463,200,46,10360.400000000001,0.648949146270752,2784.12109375
36000,-262.681135,200,83,10360.400000000001,0.648949146270752,2784.12109375
36200,-491.759774,200,121,10360.400000000001,0.648949146270752,2784.12109375
36400,-165.045935,200,68,10360.400000000001,0.648949146270752,2784.12109375
36600,-739.722435,200,158,10360.400000000001,0.648949146270752,2784.12109375
36800,-474.033364,200,116,10360.400000000001,0.648949146270752,2784.12109375
37000,-52.696326,200,49,10360.400000000001,0.648949146270752,2784.12109375
37200,110.28838,200,23,10360.400000000001,0.648949146270752,2784.12109375
37400,-212.015759,200,76,10360.400000000001,0.648949146270752,2784.12109375
37600,-160.972396,200,65,10360.400000000001,0.648949146270752,2784.12109375
37800,-201.144641,200,73,10360.3984375,0.64894899725914,2784.12109375
38000,-529.874021,200,124,10360.400000000001,0.648949146270752,2784.12109375
38200,-171.718923,200,68,10360.400000000001,0.648949146270752,2784.12109375
38400,-604.46307,200,137,10360.400000000001,0.648949146270752,2784.12109375
38600,-508.665326,200,121,10360.400000000001,0.648949146270752,2784.12109375
38800,-312.958195,200,93,10360.400000000001,0.648949146270752,2784.12109375
39000,-335.432258,200,93,10360.400000000001,0.648949146270752,2784.12109375
39200,-645.801164,200,142,10360.400000000001,0.648949146270752,2784.12109375
39400,-238.596945,200,80,10360.400000000001,0.648949146270752,2784.12109375
39600,-130.062659,200,60,10360.400000000001,0.648949146270752,2784.12109375
39800,-603.257706,200,138,10360.400000000001,0.648949146270752,2784.12109375
40000,-559.047034,200,131,10360.400000000001,0.648949146270752,2784.12109375
40200,129.27157,200,18,10360.400000000001,0.648949146270752,2784.12109375
40400,-362.43421,200,100,10360.400000000001,0.648949146270752,2784.12109375
40600,-303.102479,200,92,10360.400000000001,0.648949146270752,2784.12109375
40800,-341.509198,200,96,10360.400000000001,0.648949146270752,2784.12109375
41000,-254.191612,200,83,10360.400000000001,0.648949146270752,2784.12109375
41200,-338.719512,200,96,10360.400000000001,0.648949146270752,2784.12109375
41400,-406.532861,200,103,10360.400000000001,0.648949146270752,2784.12109375
41600,-43.710037,200,48,10360.400000000001,0.648949146270752,2784.12109375
41800,-175.404942,200,68,10360.400000000001,0.648949146270752,2784.12109375
42000,-338.110044,200,93,10360.400000000001,0.648949146270752,2784.12109375
42200,-376.093304,200,101,10360.400000000001,0.648949146270752,2784.12109375
42400,-297.164106,200,88,10360.400000000001,0.648949146270752,2784.12109375
42600,26.347361,200,36,10360.400000000001,0.648949146270752,2784.12109375
42800,-388.746249,200,104,10360.400000000001,0.648949146270752,2784.12109375
43000,-30.035159,200,45,10360.400000000001,0.648949146270752,2784.12109375
43200,-339.994618,200,93,10360.400000000001,0.648949146270752,2784.12109375
43400,-545.836622,200,127,10360.400000000001,0.648949146270752,2784.12109375
43600,-394.922008,200,104,10360.400000000001,0.648949146270752,2784.12109375
43800,-96.180162,200,55,10360.3984375,0.64894899725914,2784.12109375
44000,-167.635867,200,59,6900.63125,0.5456693097949028,2749.694580078125
44200,-103.256731,200,47,5051.1875,0.590093731880188,2739.787841796875
