timestep,reward,length,violations,thrust,sfc,T4
146400,208.89472,200,3,7529.629687500001,0.7128401845693588,2745.92431640625
146600,185.205334,200,1,10349.453125,0.6512211263179779,2783.749755859375
146800,101.887854,200,4,10345.392187500001,0.6520476192235947,2783.61279296875
147000,94.201666,200,4,5353.228125000001,0.5924750864505768,2740.63818359375
147200,224.802264,200,1,9214.6859375,0.7861623167991638,2755.429443359375
147400,170.761091,200,4,8183.875,0.8011885732412338,2744.881103515625
147600,170.6494,200,3,10325.2875,0.6560207158327103,2782.94189453125
147800,208.473713,200,1,10343.88125,0.6523535400629044,2783.56201171875
148000,185.708038,200,3,8065.471875,0.7915382087230682,2744.678955078125
148200,187.286323,200,3,10286.490625,0.6631717085838318,2781.678466796875
148400,174.407029,200,2,5492.895312500001,0.5855884775519371,2740.88671875
148600,134.608325,200,4,5439.865625,0.5885850638151169,2740.79150390625
148800,162.354857,200,4,5779.8984375,0.5640755221247673,2741.620849609375
149000,213.843877,200,1,10351.729687500001,0.6507538259029388,2783.82666015625
149200,152.362891,200,3,10345.925000000001,0.651940256357193,2783.630859375
149400,242.576316,200,1,5944.090625000001,0.5499038100242615,2742.33984375
149600,131.891969,200,4,5379.626562500001,0.5914366990327835,2740.685546875
149800,1.595694,200,8,10339.478125000001,0.6532371789216995,2783.414306640625
150000,173.029664,200,2,8322.1625,0.8091019839048386,2745.359375
150200,204.923368,200,3,10044.625,0.6986748427152634,2774.5322265625
150400,193.404206,200,3,9257.432812500001,0.7826050370931625,2756.21875
150600,189.376222,200,2,5836.692187500001,0.5592088401317596,2741.839599609375
150800,261.00861,200,1,6231.159375,0.5274390429258347,2744.249267578125
151000,167.935011,200,3,10348.7578125,0.6513628363609314,2783.726318359375
151200,163.463676,200,3,5410.4671875,0.5900562927126884,2740.739990234375
151400,212.675089,200,1,6268.837500000001,0.5250804126262665,2744.55712890625
151600,178.963259,200,2,5459.692187500001,0.5875135213136673,2740.82666015625
151800,180.389696,200,2,7395.2171875,0.6833874434232712,2746.73095703125
152000,232.364551,200,4,5436.634375000001,0.5887534841895103,2740.785888671875
152200,88.333534,200,6,6776.2296875,0.5261635407805443,2749.11767578125
152400,187.901771,200,2,6984.240625,0.5665458366274834,2749.629150390625
152600,92.40428,200,4,5430.625,0.5890629813075066,2740.775146484375
152800,213.761642,200,3,5414.942187500001,0.5898416042327881,2740.747802734375
153000,115.557378,200,5,7196.825000000001,0.6311814486980438,2748.20947265625
153200,164.863514,200,3,9870.96875,0.719788670539856,2769.921875
153400,222.796588,200,1,10179.151562500001,0.6803432106971741,2778.374755859375
153600,200.723536,200,2,10030.010937500001,0.7005368173122406,2774.13037109375
153800,161.520371,200,3,5389.645312500001,0.5910073593258858,2740.703369140625
154000,97.107729,200,4,6719.9328125,0.5211871862411499,2748.68603515625
154200,183.356833,200,3,10353.089062500001,0.6504736840724945,2783.872802734375
154400,222.604709,200,1,5719.556250000001,0.5691158771514893,2741.419677734375
154600,164.005267,200,2,10347.334375,0.6516537070274353,2783.67822265625
154800,223.735856,200,2,5334.596875,0.5931213870644569,2740.603515625
155000,145.604526,200,5,5638.965625000001,0.5755112692713737,2741.1962890625
155200,200.308936,200,3,9695.971875000001,0.7394737005233765,2765.603271484375
155400,146.802403,200,3,7871.06875,0.7697436213493347,2744.7392578125
155600,194.29633,200,1,5745.8578125,0.5669400840997696,2741.50341796875
155800,193.369619,200,2,6200.528125000001,0.529492050409317,2744.0078125
156000,186.162807,200,2,7144.821875000001,0.6156532093882561,2748.625
156200,250.490828,200,2,10240.714062500001,0.6708880513906479,2780.238037109375
156400,200.824127,200,1,9892.865625,0.717228576540947,2770.484619140625
156600,227.64569,200,3,7799.720312500001,0.759851410984993,2744.8779296875
156800,161.635248,200,2,10010.840625,0.7029510289430618,2773.607421875
157000,106.901033,200,5,5561.8,0.5811268836259842,2741.020751953125
157200,228.038252,200,2,7914.762500000001,0.7752960920333862,2744.6845703125
157400,178.338047,200,3,5678.262500000001,0.5724497139453888,2741.29931640625
157600,129.95662,200,3,8494.4203125,0.8141139894723892,2746.338134765625
157800,218.744429,200,1,5514.645312500001,0.5842443555593491,2740.92724609375
158000,214.319964,200,2,6189.2015625,0.5302790924906731,2743.920654296875
158200,229.384122,200,0,10356.715625,0.6497205793857574,2783.995849609375
158400,93.699581,200,6,5511.115625,0.5844666808843613,2740.920654296875
158600,157.370539,200,1,7932.734375,0.777469202876091,2744.6689453125
158800,232.762082,200,2,6282.578125,0.5242700129747391,2744.67236328125
159000,207.28629,200,2,5316.13125,0.5936869978904724,2740.568359375
159200,267.709663,200,1,9851.4671875,0.7220491021871567,2769.425048828125
159400,109.801712,200,6,10347.112500000001,0.6516990065574646,2783.6708984375
159600,192.581416,200,1,5407.6515625,0.5901892483234406,2740.735107421875
159800,210.005909,200,1,9044.0390625,0.7986995577812195,2752.539306640625
160000,182.584756,200,2,6615.0,0.5164064839482307,2747.749267578125
160200,158.092467,200,3,8033.7875,0.788494348526001,2744.656005859375
160400,182.869574,200,3,5406.0,0.5902666971087456,2740.732177734375
160600,177.045858,200,3,5425.6984375,0.5893118306994438,2740.7666015625
160800,121.785894,200,5,10343.9734375,0.6523345410823822,2783.565185546875
161000,229.435369,200,2,5569.957812500001,0.5805617570877075,2741.037841796875
161200,93.109702,200,4,8017.9484375,0.7868998497724533,2744.6494140625
161400,258.272084,200,0,7647.2421875,0.7352136820554733,2745.370361328125
161600,167.984726,200,2,7521.5140625,0.7111842185258865,2745.968017578125
161800,160.695107,200,4,8799.50625,0.8109010010957718,2749.184326171875
162000,172.439073,200,3,5601.332812500001,0.5783217772841454,2741.1064453125
162200,164.813373,200,2,8533.996875,0.8145398646593094,2746.62548828125
162400,251.104897,200,2,8797.94375,0.810953676700592,2749.166015625
162600,158.558238,200,2,10346.2703125,0.6518698483705521,2783.642578125
162800,228.83377,200,1,5851.296875,0.5579455569386482,2741.90087890625
163000,134.679979,200,4,8439.737500000001,0.813087522983551,2745.97998046875
163200,114.263219,200,4,5891.735937500001,0.5544374883174896,2742.081298828125
163400,247.435356,200,1,10314.096875000001,0.6581490486860275,2782.5732421875
163600,263.640954,200,1,5937.346875,0.5504857376217842,2742.304931640625
163800,175.811258,200,3,5488.940625,0.5858258903026581,2740.87939453125
164000,103.206358,200,5,8341.809375,0.8099401742219925,2745.448974609375
164200,246.073447,200,2,6438.3734375,0.5173420161008835,2746.067626953125
164400,137.013337,200,2,10335.7234375,0.6539835035800934,2783.288818359375
164600,225.32987,200,1,8227.1109375,0.804046019911766,2745.001953125
164800,128.657774,200,3,10347.6953125,0.6515802443027496,2783.6904296875
165000,198.199445,200,2,10328.90625,0.6553199887275696,2783.061767578125
165200,181.583229,200,4,7467.9875,0.6998731195926666,2746.27197265625
165400,169.214716,200,4,5995.8421875,0.5454766750335693,2742.622802734375
165600,125.562541,200,5,10296.307812500001,0.6614205986261368,2781.994384765625
165800,277.746741,200,0,8763.7671875,0.8120158314704895,2748.774658203125
166000,81.212264,200,4,10310.5828125,0.6588064134120941,2782.4580078125
166200,183.6331,200,2,10329.323437500001,0.6552393734455109,2783.075439453125
166400,128.205614,200,3,5285.6546875,0.5944457277655602,2740.50732421875
166600,191.575628,200,3,8206.3296875,0.8027171343564987,2744.940673828125
166800,167.833182,200,4,8015.832812500001,0.786682665348053,2744.64892578125
167000,202.748607,200,1,10168.657812500001,0.6818719208240509,2778.064453125
167200,221.068723,200,2,7667.239062500001,0.7387206703424454,2745.291015625
167400,159.108594,200,5,8949.2484375,0.8043227344751358,2751.12548828125
167600,174.915036,200,4,7142.953125,0.6150837242603302,2748.639892578125
167800,150.745386,200,3,8921.307812500001,0.8057733625173569,2750.73583984375
168000,234.797887,200,2,8083.126562500001,0.7931485027074814,2744.697265625
168200,222.038996,200,2,6115.746875000001,0.5357091128826141,2743.384033203125
168400,234.688681,200,2,5473.8546875,0.5867120623588562,2740.85205078125
168600,175.781032,200,3,6329.528125000001,0.5217210948467255,2745.07666015625
168800,196.50116,200,2,9941.095312500001,0.7114984095096588,2771.7421875
169000,232.995753,200,2,5558.825000000001,0.5813315510749817,2741.0146484375
169200,174.514129,200,3,5461.900000000001,0.58739073574543,2740.83056640625
169400,165.376777,200,2,7478.0625,0.7020538300275803,2746.212646484375
169600,210.490565,200,1,10182.589062500001,0.6798375397920609,2778.4765625
169800,92.532834,200,5,10347.2703125,0.6516667455434799,2783.67626953125
170000,170.958812,200,4,7230.734375,0.6409074366092682,2747.939208984375
170200,154.362442,200,3,7745.5265625,0.7516453415155411,2745.022705078125
170400,250.378775,200,2,8493.071875,0.8140952885150909,2746.328857421875
170600,84.580316,200,4,10329.8671875,0.6551335006952286,2783.093505859375
170800,247.768037,200,1,6060.579687500001,0.5400926247239113,2743.015625
171000,148.932076,200,4,10322.0203125,0.6566477566957474,2782.833740234375
171200,259.147849,200,1,5587.65625,0.579310916364193,2741.075927734375
